   
Fruits: Total: 65234 Kg, Total Price: 8902
  Orange: 1 Pack(116.0 Kg), Unit Price:30.0 , Total Price: 30.0, Discount: 0.0%(0.0)
  Orange: 8 Pack(1936.0 Kg), Unit Price:43.0 , Total Price: 344.0, Discount: 0.0%(0.0)
  Peaches: 6 Pack(1326.0 Kg), Unit Price:29.0 , Total Price: 174.0, Discount: 0.0%(0.0)
  Apple: 7 Kg, Unit Price:12.0 , Total Price: 84.0, Discount: 0.0%(0.0)
  Orange: 8 Pack(2040.0 Kg), Unit Price:36.0 , Total Price: 288.0, Discount: 0.0%(0.0)
  Peaches: 4 Pack(1024.0 Kg), Unit Price:41.0 , Total Price: 164.0, Discount: 0.0%(0.0)
  Peaches: 6 Pack(1266.0 Kg), Unit Price:44.0 , Total Price: 264.0, Discount: 0.0%(0.0)
  Peaches: 9 Pack(2007.0 Kg), Unit Price:10.8 , Total Price: 97.2, Discount: 40.0%(38.9)
  Orange: 8 Kg, Unit Price:15.0 , Total Price: 120.0, Discount: 0.0%(0.0)
  Apple: 4 Pack(476.0 Kg), Unit Price:40.0 , Total Price: 160.0, Discount: 0.0%(0.0)
  Apple: 8 Pack(2288.0 Kg), Unit Price:27.0 , Total Price: 216.0, Discount: 0.0%(0.0)
  Apple: 8 Pack(2072.0 Kg), Unit Price:7.6 , Total Price: 60.8, Discount: 20.0%(12.2)
  Orange: 7 Pack(1057.0 Kg), Unit Price:22.0 , Total Price: 154.0, Discount: 0.0%(0.0)
  Orange: 10 Pack(2170.0 Kg), Unit Price:39.0 , Total Price: 390.0, Discount: 0.0%(0.0)
  Orange: 10 Pack(2200.0 Kg), Unit Price:10.0 , Total Price: 100.0, Discount: 0.0%(0.0)
  Apple: 3 Pack(489.0 Kg), Unit Price:43.0 , Total Price: 129.0, Discount: 0.0%(0.0)
  Peaches: 7 Kg, Unit Price:24.0 , Total Price: 168.0, Discount: 0.0%(0.0)
  Peaches: 8 Pack(2352.0 Kg), Unit Price:7.2 , Total Price: 57.6, Discount: 20.0%(11.5)
  Apple: 3 Pack(603.0 Kg), Unit Price:8.0 , Total Price: 24.0, Discount: 0.0%(0.0)
  Orange: 8 Pack(2064.0 Kg), Unit Price:6.0 , Total Price: 48.0, Discount: 0.0%(0.0)
  Orange: 6 Kg, Unit Price:40.0 , Total Price: 240.0, Discount: 0.0%(0.0)
  Apple: 10 Pack(2390.0 Kg), Unit Price:7.6 , Total Price: 76.0, Discount: 20.0%(15.2)
  Apple: 2 Box(82.0 Kg), Unit Price:43.0 , Total Price: 86.0, Discount: 0.0%(0.0)
  Orange: 2 Bag(38.0 Kg), Unit Price:41.0 , Total Price: 82.0, Discount: 0.0%(0.0)
  Apple: 5 Kg, Unit Price:4.2 , Total Price: 21.0, Discount: 20.0%(4.2)
  Orange: 9 Pack(1584.0 Kg), Unit Price:3.8 , Total Price: 34.2, Discount: 20.0%(6.8)
  Orange: 2 Pack(276.0 Kg), Unit Price:36.0 , Total Price: 72.0, Discount: 0.0%(0.0)
  Peaches: 8 Pack(976.0 Kg), Unit Price:14.0 , Total Price: 112.0, Discount: 40.0%(44.8)
  Orange: 8 Kg, Unit Price:7.0 , Total Price: 56.0, Discount: 0.0%(0.0)
  Orange: 3 Pack(573.0 Kg), Unit Price:21.0 , Total Price: 63.0, Discount: 0.0%(0.0)
  Peaches: 6 Bag(108.0 Kg), Unit Price:6.6 , Total Price: 39.6, Discount: 20.0%(7.9)
  Apple: 2 Pack(576.0 Kg), Unit Price:13.0 , Total Price: 26.0, Discount: 0.0%(0.0)
  Peaches: 6 Pack(1398.0 Kg), Unit Price:7.0 , Total Price: 42.0, Discount: 0.0%(0.0)
  Apple: 1 Pack(197.0 Kg), Unit Price:1.0 , Total Price: 1.0, Discount: 20.0%(0.2)
  Peaches: 7 Pack(1379.0 Kg), Unit Price:3.0 , Total Price: 21.0, Discount: 0.0%(0.0)
  Apple: 5 Pack(1220.0 Kg), Unit Price:1.0 , Total Price: 5.0, Discount: 0.0%(0.0)
  Apple: 6 Bag(120.0 Kg), Unit Price:1.0 , Total Price: 6.0, Discount: 20.0%(1.2)
  Peaches: 10 Box(440.0 Kg), Unit Price:2.6 , Total Price: 26.0, Discount: 20.0%(5.2)
  Peaches: 3 Pack(369.0 Kg), Unit Price:13.0 , Total Price: 39.0, Discount: 0.0%(0.0)
  Peaches: 8 Kg, Unit Price:32.0 , Total Price: 256.0, Discount: 0.0%(0.0)
  Peaches: 7 Pack(1197.0 Kg), Unit Price:30.0 , Total Price: 210.0, Discount: 0.0%(0.0)
  Peaches: 6 Box(348.0 Kg), Unit Price:5.0 , Total Price: 30.0, Discount: 20.0%(6.0)
  Apple: 1 Pack(110.0 Kg), Unit Price:39.0 , Total Price: 39.0, Discount: 0.0%(0.0)
  Orange: 3 Pack(699.0 Kg), Unit Price:8.2 , Total Price: 24.6, Discount: 20.0%(4.9)
  Apple: 6 Pack(1308.0 Kg), Unit Price:4.4 , Total Price: 26.4, Discount: 40.0%(10.6)
  Peaches: 9 Pack(1305.0 Kg), Unit Price:44.0 , Total Price: 396.0, Discount: 0.0%(0.0)
  Orange: 7 Pack(1820.0 Kg), Unit Price:20.0 , Total Price: 140.0, Discount: 0.0%(0.0)
  Apple: 8 Kg, Unit Price:17.0 , Total Price: 136.0, Discount: 0.0%(0.0)
  Apple: 9 Box(288.0 Kg), Unit Price:18.4 , Total Price: 165.6, Discount: 40.0%(66.2)
